Problemid,Dataset,Students,Periods,Exams,Enrollments,Best Cost
car92,car92.in,18419,32,543,55522,3.6421086921114068
car91,car91.in,16925,35,682,56877,4.237932053175776
ear83,ear83.in,1125,24,190,8109,32.42044444444444
hec92,hec92.in,2823,18,81,10632,10.033652143110167
kfu93,kfu93.in,5349,20,461,25113,12.799027855673957
lse91,lse91.in,2726,18,381,10918,9.773661041819516
pur93,pur93.in,30029,42,2419,120681,4.000532765050613
rye93,rye93.in,11482,23,486,45051,7.83758599669076
sta83,sta83.in,611,13,139,5751,157.0327332242226
tre92,tre92.in,4360,23,261,14901,7.590366972477065
uta92,uta92.in,21266,35,622,58979,2.947192701965579
ute92,ute92.in,2749,10,184,11793,24.76
yor83,yor83.in,941,21,181,6034,34.40488841657811
ITC2007_1,ITC2007_1.in,7883,54,607,32380,0.7139413928707344
ITC2007_2,ITC2007_2.in,12484,40,870,37379,0.12319769304710029
ITC2007_3,ITC2007_3.in,16365,36,934,61150,1.2690498014054383
ITC2007_4,ITC2007_4.in,4421,21,273,21740,10.82764080524768
ITC2007_5,ITC2007_5.in,8719,42,1018,34196,0.17972244523454525
ITC2007_6,ITC2007_6.in,7909,16,242,18466,3.8365153622455432
ITC2007_7,ITC2007_7.in,13795,80,1096,45493,0.018992388546574847
ITC2007_8,ITC2007_8.in,7718,80,598,31374,0.05299300336874838
ITC2007_9,ITC2007_9.in,624,25,169,2532,4.677884615384615
ITC2007_10,ITC2007_10.in,1415,32,214,7853,8.63321554770318
ITC2007_11,ITC2007_11.in,16365,26,934,61150,3.3209288114879314	
ITC2007_12,ITC2007_12.in,1653,12,78,3685,6.431336963097399
D1-2-17,D1-2-17.in,38,38,281,377,63.89473684210526
D5-1-17,D5-1-17.in,43,45,277,585,84.95348837209302
D5-1-18,D5-1-18.in,50,45,311,601,64.9
D5-2-17,D5-2-17.in,43,45,344,843,194.46511627906978
D5-2-18,D5-2-18.in,50,59,426,962,132.38
D5-3-18,D5-3-18.in,43,22,132,312,32.69767441860465
D6-1-18,D6-1-18.in,57,60,511,1234,171.80701754385964
D6-2-18,D6-2-18.in,57,78,539,1371,138.2982456140351